,code,nameTh,abbraviation
0,10000000,กรุงเทพมหานคร,BKK
1,11000000,สมุทรปราการ,SPK
2,12000000,นนทบุรี,NBI
3,13000000,ปทุมธานี,PTE
4,14000000,พระนครศรีอยุธยา,AYA
5,15000000,อ่างทอง,ATG
6,16000000,ลพบุรี,LRI
7,17000000,สิงห์บุรี,SBR
8,18000000,ชัยนาท,CNT
9,19000000,สระบุรี,SRI
10,20000000,ชลบุรี,CBI
11,21000000,ระยอง,RYG
12,22000000,จันทบุรี,CTI
13,23000000,ตราด,TRT
14,24000000,ฉะเชิงเทรา,CCO
15,25000000,ปราจีนบุรี,PRI
16,26000000,นครนายก,NYK
17,27000000,สระแก้ว,SKW
18,30000000,นครราชสีมา,NMA
19,31000000,บุรีรัมย์,BRM
20,32000000,สุรินทร์,SRN
21,33000000,ศรีสะเกษ,SSK
22,34000000,อุบลราชธานี,UBN
23,35000000,ยโสธร,YST
24,36000000,ชัยภูมิ,CPM
25,37000000,อำนาจเจริญ,ACR
26,38000000,บึงกาฬ,BKN
27,39000000,หนองบัวลำภู,NBP
28,40000000,ขอนแก่น,KKN
29,41000000,อุดรธานี,UDN
30,42000000,เลย,LEI
31,43000000,หนองคาย,NKI
32,44000000,มหาสารคาม,MKM
33,45000000,ร้อยเอ็ด,RET
34,46000000,กาฬสินธุ์,KSN
35,47000000,สกลนคร,SNK
36,48000000,นครพนม,NPM
37,49000000,มุกดาหาร,MDH
38,50000000,เชียงใหม่,CMI
39,51000000,ลำพูน,LPN
40,52000000,ลำปาง,LPG
41,53000000,อุตรดิตถ์,UTT
42,54000000,แพร่,PRE
43,55000000,น่าน,NAN
44,56000000,พะเยา,PYO
45,57000000,เชียงราย,CRI
46,58000000,แม่ฮ่องสอน,MSN
47,60000000,นครสวรรค์,NSN
48,61000000,อุทัยธานี,UTI
49,62000000,กำแพงเพชร,KPT
50,63000000,ตาก,TAK
51,64000000,สุโขทัย,STI
52,65000000,พิษณุโลก,PLK
53,66000000,พิจิตร,PCT
54,67000000,เพชรบูรณ์,PNB
55,70000000,ราชบุรี,RBR
56,71000000,กาญจนบุรี,KRI
57,72000000,สุพรรณบุรี,SPB
58,73000000,นครปฐม,NPT
59,74000000,สมุทรสาคร,SKN
60,75000000,สมุทรสงคราม,SKM
61,76000000,เพชรบุรี,PBI
62,77000000,ประจวบคีรีขันธ์,PKN
63,80000000,นครศรีธรรมราช,NST
64,81000000,กระบี่,KBI
65,82000000,พังงา,PNA
66,83000000,ภูเก็ต,PKT
67,84000000,สุราษฎร์ธานี,SNI
68,85000000,ระนอง,RNG
69,86000000,ชุมพร,CPN
70,90000000,สงขลา,SKA
71,91000000,สตูล,STN
72,92000000,ตรัง,TRG
73,93000000,พัทลุง,PLG
74,94000000,ปัตตานี,PTN
75,95000000,ยะลา,YLA
76,96000000,นราธิวาส,NWT
